"Type.of.feeding.interaction","median.mass.pred","mean.mass.pred","median.mass.prey","mean.mass.prey","median.ratio","mean.ratio"
"insectivorous",-0.042385716496438,1.71752969478494,-3.11903048989848,-2.19580346259828,-3.07664477340205,-3.91333315738322
"piscivorous",7.97246601597457,9.86169760777711,1.81807677754543,3.6692066637197,-6.15438923842914,-6.19249094405741
"planktivorous",-3.83506196429202,7.93629266790568,-13.9524764130374,-0.627075916379389,-10.1174144487454,-8.56336858428507
"predacious",6.4118182677099,9.2526030723012,-1.52326021619305,2.63774342032282,-7.93507848390295,-6.61485965197839
"predacious/piscivorous",6.38012253689976,6.63939831147624,2.61006979274201,3.08606657072906,-3.77005274415776,-3.55333174074718
